PIERAPG00000012191	len=150	ExpAA=22.79	First60=1.25	PredHel=1	Topology=o61-83i
PIERAPG00000008472	len=1017	ExpAA=0.04	First60=0.04	PredHel=0	Topology=o
PIERAPG00000008588	len=247	ExpAA=0.16	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009252	len=144	ExpAA=2.88	First60=0.00	PredHel=0	Topology=i
PIERAPG00000008650	len=252	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
PIERAPG00000008753	len=206	ExpAA=16.27	First60=0.03	PredHel=0	Topology=o
PIERAPG00000002779	len=589	ExpAA=19.65	First60=0.34	PredHel=1	Topology=o566-588i
PIERAPG00000014750	len=107	ExpAA=1.68	First60=1.67	PredHel=0	Topology=o
PIERAPG00000014430	len=374	ExpAA=0.08	First60=0.02	PredHel=0	Topology=o
PIERAPG00000000026	len=522	ExpAA=15.52	First60=0.00	PredHel=1	Topology=i162-184o
PIERAPG00000007509	len=376	ExpAA=132.53	First60=0.28	PredHel=6	Topology=i153-175o185-207i227-249o269-288i300-322o342-364i
PIERAPG00000003424	len=386	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008570	len=506	ExpAA=22.44	First60=21.33	PredHel=1	Topology=i7-29o
PIERAPG00000007756	len=200	ExpAA=1.32	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007568	len=410	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000012437	len=689	ExpAA=116.25	First60=0.00	PredHel=5	Topology=o115-137i161-183o261-283i341-363o378-400i
PIERAPG00000006674	len=652	ExpAA=148.79	First60=0.00	PredHel=7	Topology=o397-419i432-454o474-496i509-531o536-558i565-587o622-644i
PIERAPG00000006185	len=287	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
PIERAPG00000012954	len=829	ExpAA=0.10	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002218	len=408	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006490	len=416	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005216	len=214	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
PIERAPG00000001749	len=888	ExpAA=1.12	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004598	len=788	ExpAA=0.06	First60=0.02	PredHel=0	Topology=o
PIERAPG00000008334	len=161	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013946	len=385	ExpAA=14.45	First60=14.37	PredHel=1	Topology=o10-32i
PIERAPG00000002664	len=364	ExpAA=0.15	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010465	len=372	ExpAA=0.94	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013934	len=206	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009231	len=217	ExpAA=1.64	First60=1.17	PredHel=0	Topology=o
PIERAPG00000009842	len=182	ExpAA=42.40	First60=0.00	PredHel=2	Topology=i120-142o152-170i
PIERAPG00000005518	len=234	ExpAA=6.52	First60=2.74	PredHel=0	Topology=o
PIERAPG00000003537	len=350	ExpAA=0.82	First60=0.09	PredHel=0	Topology=o
PIERAPG00000002019	len=399	ExpAA=0.20	First60=0.02	PredHel=0	Topology=o
PIERAPG00000001525	len=317	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000008886	len=770	ExpAA=40.43	First60=0.01	PredHel=2	Topology=o115-133i217-239o
PIERAPG00000012794	len=110	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005057	len=439	ExpAA=0.10	First60=0.08	PredHel=0	Topology=o
PIERAPG00000006430	len=520	ExpAA=0.23	First60=0.00	PredHel=0	Topology=o
PIERAPG00000011686	len=124	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
PIERAPG00000013607	len=1073	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000013354	len=1549	ExpAA=1.31	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010707	len=593	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002536	len=282	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
PIERAPG00000004756	len=227	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006416	len=335	ExpAA=7.25	First60=0.00	PredHel=0	Topology=o
PIERAPG00000002980	len=455	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000426	len=315	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
PIERAPG00000007221	len=199	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010019	len=787	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006162	len=486	ExpAA=0.64	First60=0.00	PredHel=0	Topology=o
PIERAPG00000007101	len=480	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
PIERAPG00000003997	len=425	ExpAA=0.04	First60=0.01	PredHel=0	Topology=o
PIERAPG00000011524	len=742	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000014246	len=775	ExpAA=0.47	First60=0.00	PredHel=0	Topology=o
PIERAPG00000010238	len=502	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005957	len=176	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005989	len=930	ExpAA=0.19	First60=0.15	PredHel=0	Topology=o
PIERAPG00000002059	len=288	ExpAA=0.09	First60=0.09	PredHel=0	Topology=o
PIERAPG00000013412	len=278	ExpAA=10.61	First60=0.00	PredHel=0	Topology=o
PIERAPG00000000777	len=408	ExpAA=5.27	First60=5.27	PredHel=0	Topology=o
PIERAPG00000002451	len=1777	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005053	len=1057	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
PIERAPG00000005232	len=312	ExpAA=0.82	First60=0.78	PredHel=0	Topology=o
PIERAPG00000005793	len=351	ExpAA=1.92	First60=0.00	PredHel=0	Topology=o
PIERAPG00000009377	len=182	ExpAA=0.05	First60=0.04	PredHel=0	Topology=o
PIERAPG00000012349	len=331	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
PIERAPG00000003443	len=463	ExpAA=21.00	First60=19.96	PredHel=1	Topology=i41-60o
PIERAPG00000000791	len=859	ExpAA=0.05	First60=0.01	PredHel=0	Topology=o
PIERAPG00000008820	len=185	ExpAA=0.67	First60=0.02	PredHel=0	Topology=o
PIERAPG00000014418	len=706	ExpAA=9.50	First60=8.62	PredHel=0	Topology=o
PIERAPG00000014728	len=835	ExpAA=13.11	First60=8.29	PredHel=0	Topology=o
PIERAPG00000010760	len=104	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
PIERAPG00000002751	len=594	ExpAA=0.03	First60=0.02	PredHel=0	Topology=o
PIERAPG00000005828	len=565	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
PIERAPG00000006546	len=410	ExpAA=26.95	First60=2.06	PredHel=1	Topology=o365-387i
