TrxID	GeneName	GeneID	DpleGene	MsexGene
PIERAPT00000000002	Ppp1ca	PIERAPG00000000002	DPOGS206670	Msex2.00519
PIERAPT00000000004	DRAP1	PIERAPG00000000003	DPOGS201651	Msex2.01786
PIERAPT00000000007	enc	PIERAPG00000000005	DPOGS210192	Msex2.02146
PIERAPT00000000022	slc38a9F13H10.3	PIERAPG00000000006	DPOGS209501	Msex2.12999
PIERAPT00000000028	anon-3B1.2JHBP	PIERAPG00000000007	DPOGS205276	Msex2.07413,Msex2.07411
PIERAPT00000000031	MFSD6	PIERAPG00000000008	DPOGS207447	Msex2.13100
PIERAPT00000000044	SMYD4	PIERAPG00000000010	DPOGS213148	Msex2.14358
PIERAPT00000000050	Nrxn3	PIERAPG00000000013	DPOGS214752	NA
PIERAPT00000000051	Arhgap19	PIERAPG00000000014	DPOGS205263	Msex2.00308
PIERAPT00000000052	CSY5	PIERAPG00000000015	NA	Msex2.11901
PIERAPT00000000053	slmo	PIERAPG00000000016	DPOGS215839	Msex2.08487
PIERAPT00000000055	Gnb5	PIERAPG00000000018	DPOGS210506	Msex2.07437
PIERAPT00000000058	Trpm	PIERAPG00000000019	DPOGS210417	Msex2.08497
PIERAPT00000000067	Dph5	PIERAPG00000000020	DPOGS202307	Msex2.05284
PIERAPT00000000069	nkd	PIERAPG00000000021	DPOGS203702	Msex2.00195
PIERAPT00000000078	Atrnl1tag-53Atrn	PIERAPG00000000022	DPOGS204081	NA
PIERAPT00000000091	AAEL001134	PIERAPG00000000026	DPOGS206635	Msex2.00514
PIERAPT00000000099	HINT2	PIERAPG00000000029	DPOGS203441	Msex2.01952
PIERAPT00000000100	MYH15	PIERAPG00000000030	DPOGS200966	Msex2.00322
PIERAPT00000000106	Stx7	PIERAPG00000000032	DPOGS206799	Msex2.01390
PIERAPT00000000110	CASC1	PIERAPG00000000034	NA	Msex2.07670
PIERAPT00000000112	G105351	PIERAPG00000000035	DPOGS204277	Msex2.07037
PIERAPT00000000123	clpB	PIERAPG00000000037	DPOGS208439	Msex2.04432
PIERAPT00000000124	Ava	PIERAPG00000000038	DPOGS209520	Msex2.03469
PIERAPT00000000125	foxf1	PIERAPG00000000039	DPOGS203943	Msex2.07347
PIERAPT00000000128	Cyt-b5-r	PIERAPG00000000040	DPOGS202072,DPOGS202073	Msex2.02222
PIERAPT00000000131	Inpp5eCdc42bpa	PIERAPG00000000041	DPOGS203621	Msex2.01142
PIERAPT00000000134	futsch	PIERAPG00000000042	DPOGS205604	NA
PIERAPT00000000136	Ccdc88c	PIERAPG00000000043	DPOGS209185	Msex2.04471
PIERAPT00000000144	Whsc1	PIERAPG00000000044	DPOGS202719	Msex2.12509
PIERAPT00000000145	PLEKHG4B	PIERAPG00000000045	DPOGS214236	Msex2.03199
PIERAPT00000000146	clpP	PIERAPG00000000046	DPOGS209895	Msex2.12990
PIERAPT00000000147	cpx	PIERAPG00000000047	DPOGS200542	Msex2.08862
PIERAPT00000000149	SCAF8	PIERAPG00000000048	DPOGS215581	NA
PIERAPT00000000164	SPAC12B10.01c	PIERAPG00000000049	NA	Msex2.04371,Msex2.14508
PIERAPT00000000165	CYP6B3	PIERAPG00000000050	DPOGS215082	Msex2.09027
PIERAPT00000000167	PRMT1	PIERAPG00000000052	DPOGS214713	Msex2.01234
PIERAPT00000000174	PLEKHA5	PIERAPG00000000053	DPOGS205011	Msex2.08300
PIERAPT00000000180	IFI30	PIERAPG00000000055	DPOGS203834	Msex2.07873,Msex2.07874
PIERAPT00000000181	bca-1	PIERAPG00000000056	DPOGS208711	Msex2.08191
PIERAPT00000000182	ELAC2	PIERAPG00000000057	DPOGS200353	Msex2.07819
PIERAPT00000000205	G109606	PIERAPG00000000058	DPOGS205524	NA
PIERAPT00000000207	RAD51A	PIERAPG00000000059	DPOGS204170,DPOGS204169	Msex2.13215,Msex2.14587
PIERAPT00000000208	GST2	PIERAPG00000000060	DPOGS201021	Msex2.15514,Msex2.03352,Msex2.03350,Msex2.03348
PIERAPT00000000209	EPHX4rlmF	PIERAPG00000000061	DPOGS200598	Msex2.04061
PIERAPT00000000212	Obp72	PIERAPG00000000062	DPOGS207876	NA
PIERAPT00000000213	CYP4C1	PIERAPG00000000063	DPOGS215623	Msex2.10033,Msex2.10034
PIERAPT00000000228	Sec31bSntn	PIERAPG00000000065	DPOGS213870	Msex2.11631
PIERAPT00000000229	MRPL43	PIERAPG00000000066	DPOGS201608	Msex2.08431
PIERAPT00000000236	SODCC.2	PIERAPG00000000069	DPOGS208201	NA
PIERAPT00000000238	HI_1042	PIERAPG00000000070	DPOGS200996	NA
PIERAPT00000000241	tbpl1	PIERAPG00000000071	DPOGS201327	Msex2.05408
PIERAPT00000000243	Bgb	PIERAPG00000000073	DPOGS206526	Msex2.07136
PIERAPT00000000246	B4galt7	PIERAPG00000000074	DPOGS206283	Msex2.08063
PIERAPT00000000248	Ift81	PIERAPG00000000075	DPOGS205048	Msex2.05005
PIERAPT00000000249	Ttpal	PIERAPG00000000076	DPOGS212755	Msex2.04349
PIERAPT00000000251	DDB_G0290223	PIERAPG00000000077	DPOGS209570	Msex2.05039
PIERAPT00000000252	PSR	PIERAPG00000000078	DPOGS206392	Msex2.00959
PIERAPT00000000254	snrpd3	PIERAPG00000000080	DPOGS206813	Msex2.09898
PIERAPT00000000255	Rif1	PIERAPG00000000081	DPOGS208111	Msex2.01322
PIERAPT00000000260	wge	PIERAPG00000000082	DPOGS201152	Msex2.11616
PIERAPT00000000262	PPIL1	PIERAPG00000000084	DPOGS201358	Msex2.06980
PIERAPT00000000265	Orct2	PIERAPG00000000085	NA	Msex2.01297
PIERAPT00000000267	Pabp2	PIERAPG00000000086	DPOGS214678	Msex2.08748
PIERAPT00000000268	Tgfbi	PIERAPG00000000087	DPOGS201565	Msex2.07058
PIERAPT00000000269	FAM135A	PIERAPG00000000088	DPOGS213297	Msex2.02327
PIERAPT00000000275	Obp72_2	PIERAPG00000000090	DPOGS207877	Msex2.00467,Msex2.00465
