"GeneID","GeneName","GOCC","GOBP","TrxID","Apyrene_vs_Eupyrene_p.bh","significant_bh","master.de","desc","subject_seq.id","expect_value","bit_value","organism_commonName","organism_scientificName","organism_group","function.","SigP_Pred","TargP_Pred","transmem"
"PIERAPG00000001111","mai-2",TRUE,FALSE,"PIERAPT00000002575",0.0212137777718174,TRUE,"apyrene","Mitochondrial ATPase inhibitor IATP","O44441.1",5.03e-19,78.2,"Caenorhabditis elegans","Caenorhabditis elegans","nematodes","RecName: Full=ATPase inhibitor mai-2, mitochondrial; AltName: Full=ATP synthase F1 subunit epsilon; Flags: Precursor","OTHER","mTP",FALSE
"PIERAPG00000002853","proB_2",TRUE,FALSE,"PIERAPT00000006780",0.000243692214738895,TRUE,"apyrene",NA,NA,NA,NA,NA,NA,NA,NA,"OTHER","OTHER",FALSE
"PIERAPG00000002927","Hsc70-5",TRUE,FALSE,"PIERAPT00000006971",0.0270366553776852,TRUE,"apyrene","Heat shock protein cognate 5","P29845.2",0,1090,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Heat shock 70 kDa protein cognate 5","OTHER","mTP",FALSE
"PIERAPG00000003917","Tomm22",TRUE,TRUE,"PIERAPT00000009393",0.00195688755508305,TRUE,"apyrene","Mitochondrial import receptor subunit TOM22 homolog","O17287.1",2.83e-21,85.9,"Caenorhabditis elegans","Caenorhabditis elegans","nematodes","RecName: Full=Mitochondrial import receptor subunit TOM22 homolog","OTHER","OTHER",FALSE
"PIERAPG00000004212","l(2)37Cc",TRUE,FALSE,"PIERAPT00000010116",0.0266685281245335,TRUE,"apyrene","Prohibitin","P24156.2",2.5e-168,469,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Protein l(2)37Cc","OTHER","OTHER",FALSE
"PIERAPG00000004319","l(1)G0156",FALSE,TRUE,"PIERAPT00000010383",0.562020243206622,FALSE,"unbiased","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial","Q9VWH4.1",2.46e-82,251,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; AltName: Full=Isocitric dehydrogenase subunit alpha; AltName: Full=NAD(+)-specific ICDH subunit alpha; Flags: Precursor","OTHER","OTHER",FALSE
"PIERAPG00000004319","l(1)G0156",FALSE,TRUE,"PIERAPT00000010381",2.36622986083153e-05,TRUE,"apyrene","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial","Q9VWH4.1",2.46e-82,251,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial; AltName: Full=Isocitric dehydrogenase subunit alpha; AltName: Full=NAD(+)-specific ICDH subunit alpha; Flags: Precursor","OTHER","OTHER",FALSE
"PIERAPG00000004598","ACO2",TRUE,TRUE,"PIERAPT00000011051",0.0253107185873628,TRUE,"apyrene","Aconitate hydratase, mitochondrial","Q99KI0.1",0,1192,"house mouse","Mus musculus","rodents","RecName: Full=Aconitate hydratase, mitochondrial; Short=Aconitase; AltName: Full=Citrate hydro-lyase; Flags: Precursor","OTHER","mTP",FALSE
"PIERAPG00000004961","samm50bsamm50",TRUE,TRUE,"PIERAPT00000011909",0.0376978744504962,TRUE,"apyrene","Sorting and assembly machinery component 50","Q5U3I0.1",3.54e-70,226,"zebrafish","Danio rerio","bony fishes","RecName: Full=Sorting and assembly machinery component 50 homolog B","OTHER","OTHER",FALSE
"PIERAPG00000005994","Timm13",TRUE,TRUE,"PIERAPT00000014361",0.00708483666653959,TRUE,"apyrene","Mitochondrial import inner membrane translocase subunit","P62075.1",1.98e-39,127,"house mouse","Mus musculus;Rattus norvegicus","rodents","RecName: Full=Mitochondrial import inner membrane translocase subunit Tim13","OTHER","OTHER",FALSE
"PIERAPG00000006982","Cox6a1_2",FALSE,TRUE,"PIERAPT00000016791",0.0373709181314726,TRUE,"apyrene","Cytochrome c oxidase subunit","P43024.2",1.54e-31,110,"house mouse","Mus musculus","rodents","RecName: Full=Cytochrome c oxidase subunit 6A1, mitochondrial; AltName: Full=Cytochrome c oxidase polypeptide VIa-liver; Flags: Precursor","OTHER","mTP",TRUE
"PIERAPG00000007200","FeCh_2",TRUE,FALSE,"PIERAPT00000017295",0.00134151597360491,TRUE,"apyrene","Ferrochelatase","Q9V9S8.1",7.24e-92,277,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Ferrochelatase, mitochondrial; AltName: Full=Heme synthase; AltName: Full=Protoheme ferro-lyase; Flags: Precursor","OTHER","OTHER",FALSE
"PIERAPG00000007378","Ghitm",FALSE,TRUE,"PIERAPT00000017657",0.00105938340946423,TRUE,"apyrene","growth hormone-inducible transmembrane protein isoform X3","Q91VC9.1",8.72e-71,224,"house mouse","Mus musculus","rodents","RecName: Full=Growth hormone-inducible transmembrane protein; AltName: Full=Mitochondrial morphology and cristae structure 1; Short=MICS1; Flags: Precursor","OTHER","mTP",TRUE
"PIERAPG00000008570","AAEL011789AAEL002956",TRUE,TRUE,"PIERAPT00000020499",0.0182828066505707,TRUE,"apyrene","Citrate synthase","Q17GM7.1",0,798,"yellow fever mosquito","Aedes aegypti","mosquitos","RecName: Full=Probable citrate synthase 1, mitochondrial; Flags: Precursor","OTHER","OTHER",TRUE
"PIERAPG00000008663","Tim8",TRUE,FALSE,"PIERAPT00000020699",0.021660171622218,TRUE,"apyrene","Mitochondrial import inner membrane translocase subunit","Q9Y1A3.1",1.32e-38,126,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Mitochondrial import inner membrane translocase subunit Tim8","OTHER","OTHER",FALSE
"PIERAPG00000010239","Dlc90F",TRUE,TRUE,"PIERAPT00000024546",0.00411868190819967,TRUE,"apyrene","Dynein light chain Tctex-type","Q94524.1",7.94e-61,184,"fruit fly","Drosophila melanogaster","flies","RecName: Full=Dynein light chain Tctex-type; AltName: Full=TCTEX-1 protein homolog","OTHER","OTHER",FALSE
